side,entry_date,entry_price,exit_date,exit_price,quantity,pnl_pct,pnl_amount,balance_before,balance_after,exit_reason,market_regime,risk_percentage
BUY,2025-02-08 17:00:00,616.1,2025-02-10 03:00:00,607.57,0.7304009089433533,-4.1535465021911895,-18.69095925986035,10000.0,9981.30904074014,Reverse Signal,trending,1.5
SELL,2025-02-10 04:00:00,606.32,2025-02-11 06:00:00,637.96,0.7407951359567658,-15.65509961736376,-70.31627430501618,9981.30904074014,9910.992766435123,Reverse Signal,trending,1.5
BUY,2025-02-11 07:00:00,637.92,2025-02-12 10:00:00,651.34,0.6991388802507847,6.311136192626068,28.147331318896747,9910.992766435123,9939.14009775402,Reverse Signal,trending,1.5
SELL,2025-02-12 15:00:00,657.24,2025-02-12 17:00:00,667.83,0.31757340096895254,-4.833850648165068,-10.089306948783653,9939.14009775402,9929.050790805237,Reverse Signal,ranging,0.7
SELL,2025-02-12 18:00:00,684.73,2025-02-12 19:00:00,692.93,0.3045142853488382,-3.592656959677507,-7.491051419581357,9929.050790805237,9921.559739385655,Reverse Signal,ranging,0.7
BUY,2025-02-12 20:00:00,701.96,2025-02-13 21:00:00,673.83,0.6360336604256004,-12.022052538606184,-53.67488060331641,9921.559739385655,9867.88485878234,Reverse Signal,trending,1.5
SELL,2025-02-13 23:00:00,664.74,2025-02-14 22:00:00,653.44,0.6680127849162157,5.099738243523763,22.645633408659627,9867.88485878234,9890.530492191,Reverse Signal,trending,1.5
BUY,2025-02-14 23:00:00,659.85,2025-02-15 15:00:00,665.96,0.5396061191465878,2.7779040691066212,9.890980163956977,9890.530492191,9900.421472354956,Reverse Signal,quiet,1.2
SELL,2025-02-15 16:00:00,667.55,2025-02-16 07:00:00,654.3,0.31145060432844596,5.95461014156243,12.38016152205573,9900.421472354956,9912.801633877012,Reverse Signal,ranging,0.7
SELL,2025-02-16 14:00:00,674.06,2025-02-17 17:00:00,664.58,0.3088283451197479,4.219208972494988,8.783078135205542,9912.801633877012,9921.584712012218,Reverse Signal,ranging,0.7
BUY,2025-02-17 18:00:00,659.99,2025-02-18 17:00:00,634.92,0.31569156949689625,-11.395627206472849,-23.743162941861616,9921.584712012218,9897.841549070356,Reverse Signal,ranging,0.7
BUY,2025-02-20 12:00:00,646.89,2025-02-21 09:00:00,659.79,0.5508236265308365,5.982469971710791,21.316874346743333,9897.841549070356,9919.158423417099,Reverse Signal,quiet,1.2
SELL,2025-02-21 10:00:00,663.19,2025-02-21 19:00:00,637.96,0.3140914773922391,11.413018893529765,23.773583923818595,9919.158423417099,9942.932007340918,Reverse Signal,ranging,0.7
SELL,2025-02-22 17:00:00,669.27,2025-02-23 12:00:00,655.62,0.3119840604750837,6.118606840288663,12.775747276454656,9942.932007340918,9955.707754617373,Reverse Signal,ranging,0.7
BUY,2025-02-23 14:00:00,653.04,2025-02-24 23:00:00,613.77,0.32014863231496515,-18.040242557883126,-37.716710373026025,9955.707754617373,9917.991044244347,Reverse Signal,ranging,0.7
BUY,2025-02-25 01:00:00,608.6,2025-02-25 02:00:00,614.81,0.3422244691572975,3.061123890897103,6.375641860400373,9917.991044244347,9924.366686104748,Reverse Signal,ranging,0.7
SELL,2025-02-25 05:00:00,611.76,2025-02-26 17:00:00,609.38,0.7300191265769479,1.167124362495094,5.212336563759399,9924.366686104748,9929.579022668508,Reverse Signal,trending,1.5
BUY,2025-02-26 18:00:00,598.04,2025-02-28 03:00:00,572.82,0.3486742684035159,-12.651327670389897,-26.380695147409924,9929.579022668508,9903.198327521097,Reverse Signal,ranging,0.7
