Feature,Average Importance,Count
volatility,0.0656668541953009,3
stoch_k,0.06252511803352585,3
rsi,0.062324950218254405,3
obv,0.05303179751230374,3
returns,0.05288384214595334,3
atr,0.05141894382834102,3
bb_std,0.04888616225772382,3
macd_signal,0.04590511711502071,3
log_returns,0.04479458074311593,3
stoch_d,0.044345777087853616,3
macd,0.04417443005000842,3
macd_hist,0.0410273707376655,3
bb_width,0.04056873660674832,3
sma_200,0.039337627274756,2
bb_upper,0.03744104589072049,2
sma_10,0.03743390230521711,1
bb_lower,0.036692278510860106,3
sma_50,0.035869036976394375,2
bb_middle,0.035319967272109294,1
ema_9,0.034710715642626316,3
ema_200,0.03455138888541217,3
ema_50,0.03174081740246639,3
ema_21,0.021369078568073636,1
